idx,State,PctAdvancedDegree
0,Wyoming,7.9
1,Minnesota,10.3
2,Alaska,9.0
3,New Hampshire,11.2
4,Vermont,13.3
5,Montana,8.3
6,Iowa,7.4
7,Hawaii,9.9
8,Utah,9.1
9,Maine,9.6
10,North Dakota,6.7
11,South Dakota,7.3
12,Nebraska,8.8
13,Wisconsin,8.4
14,Kansas,10.2
15,Washington,11.1
16,Colorado,12.7
17,Oregon,10.4
18,Massachusetts,16.4
19,Connecticut,15.5
20,Idaho,7.5
21,Maryland,16.0
22,Michigan,9.4
23,Pennsylvania,10.2
24,Ohio,8.8
25,Delaware,11.4
26,New Jersey,12.9
27,District of Columbia,28.0
28,Missouri,9.5
29,Indiana,8.1
30,Virginia,14.1
31,Illinois,11.7
32,Oklahoma,7.4
33,Florida,9.0
34,New York,14.0
35,Rhode Island,11.7
36,North Carolina,8.8
37,Arizona,9.3
38,Georgia,9.9
39,Nevada,7.6
40,South Carolina,8.4
41,Tennessee,7.9
42,New Mexico,10.4
43,West Virginia,6.7
44,Arkansas,6.1
45,Louisiana,6.9
46,Alabama,7.7
47,Kentucky,8.5
48,California,10.7
49,Mississippi,7.1
50,Texas,8.5
