idx,State,NETMIG2015
5,Alabama,3458
6,Alaska,-5077
7,Arizona,63278
8,Arkansas,2681
9,California,103503
10,Colorado,67781
11,Connecticut,-8850
12,Delaware,7178
13,District of Columbia,8282
14,Florida,332035
15,Georgia,63154
16,Hawaii,3102
17,Idaho,9097
18,Illinois,-67535
19,Indiana,-2307
20,Iowa,2460
21,Kansas,-5713
22,Kentucky,-41
23,Louisiana,915
24,Maine,-190
25,Maryland,6592
26,Massachusetts,21703
27,Michigan,-14709
28,Minnesota,3231
29,Mississippi,-9460
30,Missouri,1466
31,Montana,6019
32,Nebraska,2050
33,Nevada,37115
34,New Hampshire,1077
35,New Jersey,-8171
36,New Mexico,-9721
37,New York,-23832
38,North Carolina,63263
39,North Dakota,11733
40,Ohio,-10604
41,Oklahoma,15466
42,Oregon,42935
43,Pennsylvania,-5665
44,Rhode Island,34
45,South Carolina,52385
46,South Dakota,-84
47,Tennessee,32268
48,Texas,271661
49,Utah,15744
50,Vermont,-1309
51,Virginia,14988
52,Washington,68705
53,West Virginia,-3340
54,Wisconsin,-6999
55,Wyoming,-1224
56,Puerto Rico,-65089
